,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,R (A),R (a.u.),batch size,lr,dcy const,C_0,C_+1,C_-1,C_+2,C_exc1,C_exc2,C_exc3,O_0,O_+1,O_-1,O_-2,O_exc1,O_exc2,C Eff.,O Eff.,Tot. Ch,RMSE,epoch len.
35,1.75,3.30702048005,1024,0.01,0.0001,0.54949754,0.012091705,0.0022283837,0.4306895,0.0009136401,0.0007333605,0.00070937996,0.23410337,0.004847242,0.0027786428,0.43866372,0.31244466,0.011681219,0.871242348337546,-0.8752588429488242,-0.004016494611278176,0.005778549954884754,287
36,1.65,3.11804788119,1024,0.01,0.0001,0.5396591,0.01725398,0.00041653312,0.44052497,0.0005138649,0.0003212617,0.0003148601,0.20831504,0.038882256,0.00035270615,0.46734977,0.28197804,0.0006461379,0.8978873779706191,-0.8961699859646615,0.001717392005957663,0.004325333851434513,659
37,1.55,2.92907528233,1024,0.01,0.0001,0.5495262,0.03318974,0.00090463884,0.4142798,0.001964873,0.0013227465,0.0012390121,0.21842316,0.06558837,0.0011217976,0.45943433,0.25552827,0.0024506624,0.8608446786529385,-0.854402088560164,0.006442590092774481,0.003552964896629289,353
38,1.40,2.6456163840399998,1024,0.01,0.0001,0.57368326,0.031151826,0.0005778901,0.39138916,0.0008712219,0.0006996051,0.00067120686,0.2553163,0.0819254,4.365362e-05,0.4468131,0.21149063,-0.0,0.8133522581774741,-0.8117444670933764,0.0016077910840976983,0.003765513904265102,544
39,1.25,2.36215748575,1024,0.01,0.0001,0.5947822,0.0467889,0.0006062819,0.35542142,0.0006515733,0.00030874286,0.00030633388,0.29933625,0.12230266,0.0011475335,0.43975762,0.13825832,0.0011558542,0.757025466999039,-0.7583601053338498,-0.0013346383348107338,0.004369814084584557,717
40,1.19,2.2487739264339996,1024,0.01,0.0001,0.60688186,0.04965861,0.0013837379,0.33727652,0.0010050661,-0.0,-0.0,0.32759058,0.14685942,0.0016061985,0.43590054,0.08718356,0.0015839871,0.7228279102127999,-0.7265478544868529,-0.0037199442740529776,0.004471978177352098,377
41,1.17,2.2109794066619997,1024,0.01,0.0001,0.61263853,0.059723895,0.00045833833,0.32362193,0.00094646297,0.00032420392,0.00032327685,0.3390354,0.18349405,0.0012992295,0.44453,0.030689104,0.0018167384,0.7065094140998553,-0.7068652035668492,-0.00035578946699388325,0.004609859923899152,558
42,1.15,2.1731848868899997,1024,0.01,0.0001,0.60427564,0.08050468,0.00039425705,0.31424588,0.000613532,0.00035947326,0.00033830156,0.3214109,0.2151641,0.00027719492,0.46119064,0.00068425754,0.00049645384,0.70860218044254,-0.7074943816114683,0.0011077988310717046,0.004722507613336109,1243
43,1.13,2.1353903671179997,1024,0.01,0.0001,0.59201163,0.09047367,0.00065398245,0.31163642,0.00087457546,0.0003465929,0.0002955154,0.3119427,0.21595305,0.00027748058,0.4632874,0.0004227679,2.7729955e-05,0.7130925205419771,-0.7108992547728121,0.0021932657691650093,0.004688406889695097,355
44,1.12,2.1164931072320003,1024,0.01,0.0001,0.57838625,0.12259022,0.0007348832,0.29600582,0.000728536,9.367511e-05,8.9153065e-05,0.30447596,0.22450426,0.0010818635,0.46938536,0.0013598662,0.0012027433,0.713866968813818,-0.7153483127476647,-0.0014813439338468015,0.005034914445247714,717
